GeneSet	DESC	GeneSet,Genes
HS2ST1	HS2ST1	HS2ST1,HS6ST3,HS3ST4,NDST3,HS3ST2,NDST4,HS3ST1,B3GAT3,B3GALT6,XYLT2,DSE
HS3ST1	HS3ST1	HS3ST1,HS3ST2,HS3ST4,HS6ST3,NDST3,B3GALT6,NDST4,XYLT2,B3GAT3,XYLT1,PXYLP1
HS3ST2	HS3ST2	HS3ST2,HS3ST1,HS3ST4,HS6ST3,NDST3,B3GALT6,XYLT2,NDST4,B3GAT3,HS3ST5,PXYLP1
HS3ST3A1	HS3ST3A1	HS3ST3A1,HS3ST3B1,HS2ST1,HS3ST2,B3GALT6,HS3ST1,HS3ST4,HS3ST6,SLC35D2,XYLT1,B3GAT3
HS3ST3B1	HS3ST3B1	HS3ST3B1,HS3ST3A1,HS2ST1,HS3ST2,B3GALT6,HS3ST1,HS3ST4,XYLT1,HS3ST6,B3GAT3,SLC35D2
HS3ST4	HS3ST4	HS3ST4,NDST3,HS3ST2,HS3ST1,HS6ST3,NDST4,B3GAT3,B3GALT6,XYLT2,DSE,HS2ST1
HS3ST5	HS3ST5	HS3ST5,HS3ST2,HS3ST4,HS6ST3,HS3ST1,B3GAT3,PXYLP1,NDST3,NDST4,HS3ST6,GLCE
HS3ST6	HS3ST6	HS3ST6,HS3ST2,HS3ST4,HS3ST1,HS6ST3,NDST3,HS3ST5,NDST4,HS2ST1,B3GAT3,B3GALT6
HS6ST1	HS6ST1	HS6ST1,HS6ST3,HS2ST1,HS3ST4,HS3ST2,NDST1,NDST2,B3GAT3,NDST4,NDST3,HS3ST1
HS6ST3	HS6ST3	HS6ST3,HS3ST4,HS3ST2,HS3ST1,NDST3,NDST4,HS2ST1,B3GAT3,HS3ST5,HS3ST6,DSE
HSBP1	HSBP1	HSBP1,NIF3L1,EID1,THAP11,TCP10L,INSM2,ZBTB42,ERF,ZNF354B,CC2D1B,LRRFIP1
HSBP1L1	HSBP1L1	HSBP1L1,CDYL2,YAF2,KCTD1,RCOR3,SFMBT2,SERTAD2,SCML4,SERTAD3,RCOR2,TCP10L
HSCB	HSCB	HSCB,NFU1,ISCU,ISCA2,GLRX5,LYRM4,IBA57,BOLA1,ISCA1,NDOR1,NUBP2
HSD11B1	HSD11B1	HSD11B1,SDR42E1,RDH16,HSD3B2,HSD3B1,CYP21A2,LSS,RDH14,SDR9C7,HSD17B3,FDFT1
HSD11B1L	HSD11B1L	HSD11B1L,DHRS13,GFOD1,SDR39U1,ALDH16A1,ART3,GFOD2,TXNL1,ART5,RSBN1L,AADACL2
HSD11B2	HSD11B2	HSD11B2,CYP11B2,CYP11B1,ACE,TXN2,AQP3,AGTRAP,CA9,CD38,UCP3,PKLR
HSD17B1	HSD17B1	HSD17B1,HSD3B1,HSD17B3,HSD17B11,DHRS11,AKR1B15,RDH8,HSD17B14,SRD5A2,HSD3B2,HSD17B8
HSD17B11	HSD17B11	HSD17B11,AKR1B15,HSD17B14,RDH8,DHRS11,HSD17B7,HSD17B3,HSD17B8,HSD17B6,HSD17B2,HSD17B13
HSD17B12	HSD17B12	HSD17B12,HSD17B8,HSD17B13,TNXB,HSD17B11,AKR1B15,CYP19A1,DHRS11,HSD17B4,HSD17B7,ACSL5
HSD17B13	HSD17B13	HSD17B13,RDH16,HSD17B7,HSD17B11,SQLE,FITM1,FMO5,LPIN2,AADAC,RDH8,LSS
HSD17B14	HSD17B14	HSD17B14,HSD17B11,DHRS11,AKR1B15,RDH8,HSD17B1,HSD17B3,SDR42E1,CYP3A43,HSD17B6,HSD17B7
HSD17B2	HSD17B2	HSD17B2,RDH8,DHRS9,AKR1B15,HSD17B3,HSD17B11,GJB3,HSD3B1,HSD17B7,HSD17B8,UGT2B4
HSD17B3	HSD17B3	HSD17B3,SRD5A2,DHRS9,HSD17B11,CYP17A1,HSD3B1,HSD17B6,HSD17B7,RDH8,AKR1B15,HSD17B2
HSD17B4	HSD17B4	HSD17B4,ACOX1,ACAA1,ACSBG2,ACOT2,ACOT1,ACSL6,SLC27A2,ACSBG1,ACSM1,ACOT8
HSD17B6	HSD17B6	HSD17B6,DHRS9,HSD17B11,HSD17B3,AKR1B15,RDH8,HSD3B1,AKR1C4,CYP17A1,RDH16,SRD5A2
HSD17B7	HSD17B7	HSD17B7,LSS,TM7SF2,RDH8,MSMO1,HSD17B11,EBPL,DHCR7,DHRS11,SC5D,HSD17B8
HSD17B8	HSD17B8	HSD17B8,AKR1B15,HSD17B7,HSD17B11,MSMO1,RDH8,HSD17B3,HSD17B12,PECR,HSD17B4,MECR
HSD3B1	HSD3B1	HSD3B1,HSD3B2,CYP17A1,CYP21A2,HSD17B7,CYP11A1,HSD17B3,SRD5A2,RDH8,HSD17B1,LSS
HSD3B2	HSD3B2	HSD3B2,HSD3B1,CYP17A1,CYP11A1,CYP21A2,CYP11B1,HSD17B3,SRD5A2,SDR42E1,FDX1,HSD11B1
HSD3B7	HSD3B7	HSD3B7,CYP39A1,OSBPL3,OSBPL6,CYP8B1,AKR1D1,CYP7B1,OSBPL9,OSBPL1A,ACOX2,AMACR
HSDL1	HSDL1	HSDL1,FAM72A,VWA8,CCDC90B,C14orf119,FAM110B,TIMMDC1,MYL10,SERTM1,TMEM177,C10orf67
HSDL2	HSDL2	HSDL2,FAM210A,SERHL2,TMEM143,KIAA1191,ISOC1,OXNAD1,CYYR1,TMEM245,SMIM24,PCNX2
HSF1	HSF1	HSF1,NFKB1,NFATC2,FOXO1,FOXP1,ATF4,ESR1,CEBPB,JUN,CREB1,KAT2B
HSF2	HSF2	HSF2,GMEB1,SPIB,VENTX,ZNF300,ZSCAN21,ZNF629,ZNF71,ZNF33B,ZNF225,ZNF594
HSF2BP	HSF2BP	HSF2BP,TRIP13,DMRTC2,FOXJ3,BRIP1,MYBL1,ZFP41,REC114,ZSCAN21,ZSCAN2,M1AP
HSF4	HSF4	HSF4,ZNF431,ERF,ELK4,DLX4,MYPOP,LRRFIP1,GLIS1,ZNF217,VSX2,MXI1
HSF5	HSF5	HSF5,ZNF660,ZNF524,ZNF821,ISX,DPRX,ARGFX,ZNF704,HOXC12,ZSCAN1,ZNF23
HSH2D	HSH2D	HSH2D,LRRC40,EDARADD,CASKIN1,RASSF4,TCP11L1,IPO8,LRRC39,FAM83E,FAM83F,DRG2
HSP90AA1	HSP90AA1	HSP90AA1,HSP90AB1,TERT,PRKCQ,RUVBL2,ABL1,PIM1,ACTL6A,CTNNB1,PRKCI,HSPB1
HSP90AB1	HSP90AB1	HSP90AB1,HSP90AA1,PTGES3,CCT5,RUVBL2,UCHL5,TERT,CCT6A,DNAJB2,HSPA1A,CTNNB1
HSP90B1	HSP90B1	HSP90B1,PDXP,HERPUD1,DNAJC10,HYOU1,WASHC2C,ERLEC1,CCDC47,VAPB,ACTN4,SSH1
HSPA12A	HSPA12A	HSPA12A,GSTCD,GIPC2,ACTR3C,ACTR3B,SPRYD4,C5orf46,SNURF,C19orf18,TMEM52B,MSMB
HSPA12B	HSPA12B	HSPA12B,KIAA0232,SLFNL1,IRGQ,KIAA1958,KRCC1,PRR30,FNDC11,TXNRD3NB,UBALD1,RWDD4
HSPA13	HSPA13	HSPA13,SDF2,DNAJC7,TOR1B,DNAJB14,TOR2A,HSPA14,ST13,DNAJC18,AHSA1,FKBP11
HSPA14	HSPA14	HSPA14,HSPA13,SDF2,DNAJC7,DNAJB5,CCT6B,DNAJB14,DNAJB4,FKBP11,TOR2A,TOR1B
HSPA1A	HSPA1A	HSPA1A,VHL,HSPA1B,TRIB3,ATF3,FOXO1,JUN,NFKB1,IFI27,PPID,IRF3
HSPA1B	HSPA1B	HSPA1B,HSPA1A,ZC3H12A,DDRGK1,ZFP36,RFPL1,RC3H1,DHX34,NEDD4,RNF41,CCAR2
HSPA1L	HSPA1L	HSPA1L,CCT7,CCT3,CCT5,DNAJB4,CCT8,HSPA6,DNAJB5,HSPA4,TOR1B,DNAJA1
HSPA2	HSPA2	HSPA2,DNAJA1,DNAJB1,HSPA1L,DNAJB2,HSPB1,MAS1,CCT5,TESK1,SRPK1,CREB3L4
HSPA4	HSPA4	HSPA4,TOR1B,HSPA4L,ST13,FKBP5,HSPH1,HSPE1,DNAJC7,HSPA13,HSPA1L,DNAJB5
HSPA4L	HSPA4L	HSPA4L,DNAJC4,DNAJB5,CCT6B,DNAJC7,DNAJB4,HSPA4,TOR1B,HSPB8,TTC1,FKBP5
HSPA5	HSPA5	HSPA5,HERPUD1,DERL1,DNAJC10,TOR1A,SELENOS,CCDC47,WFS1,VAPB,ATF6,TMEM33
HSPA6	HSPA6	HSPA6,DNAJC7,DNAJB5,DNAJA2,HSPA13,HSPA1L,ST13,DNAJB4,HSPA4L,TOR1B,HSPH1
HSPA8	HSPA8	HSPA8,PKD1,CUL4A,CDC34,KHDRBS1,STK11,CDK1,RPS6,RPS6KB1,CDK4,PLK3
HSPA9	HSPA9	HSPA9,AHCYL1,GRPEL1,PAM16,MTCH2,TIMM21,TPR,GRPEL2,ABCB10,YME1L1,TIMM50
HSPB1	HSPB1	HSPB1,EIF2AK2,PIM1,TRIM65,PRKCQ,PPIA,RNF41,STK24,MAPK9,TRIM6,PRKCD
HSPB2	HSPB2	HSPB2,CRYAA,HSPB6,DNAJB4,CRYAB,HSPB8,HSPA4L,HSPB7,DNAJB2,DNAJA1,DNAJC4
HSPB3	HSPB3	HSPB3,HSPA4L,UBXN4,DNAJC4,HSPB8,TLDC2,HSPB7,FAM53A,HSPB2,XRRA1,FAM76A
HSPB6	HSPB6	HSPB6,CRYAA,HSPB2,PDCL3,DNAJA4,ECSCR,DNAJB11,MYDGF,HYPK,PPIB,ANGPTL4
HSPB7	HSPB7	HSPB7,HSPA4L,HSPB2,MOSPD3,DNAJC4,HSPB8,LRRC10,PRICKLE4,PDLIM3,UBXN4,MYL7
HSPB8	HSPB8	HSPB8,HSPA4L,DNAJB2,HSPH1,DNAJB5,HYPK,RFPL3,NHLRC1,DNAJB4,PHF23,DNAJC4
HSPB9	HSPB9	HSPB9,COMMD4,MFAP3L,SLC4A1AP,COMMD5,NIPSNAP3A,CCDC110,CCDC89,NUTM1,CCDC174,TMCO2
HSPBAP1	HSPBAP1	HSPBAP1,LONRF2,DNAJC12,SEC14L5,TPD52L3,NBPF1,SPATA2L,COMMD2,LRP2BP,CCDC184,UBTD2
HSPBP1	HSPBP1	HSPBP1,BAG2,BAG5,SIAH3,DNAJB2,RNF180,RNF139,UBE2Z,NHLRC1,PSMF1,RNFT1
HSPD1	HSPD1	HSPD1,LAMP3,MAVS,TNIP1,RSAD2,IRAK3,TIRAP,IFIH1,TRAF6,SLC11A1,LAPTM5
HSPE1	HSPE1	HSPE1,KHDC1,FAM162A,HSPA4,BCL2L13,KHDC1L,DNAJB6,PDCD2,BCL2L10,DNAJC7,MTCH1
HSPG2	HSPG2	HSPG2,POSTN,THBS4,ADAM15,FN1,ANGPTL4,TIE1,APOD,NDNF,ANGPT4,ANGPT2
HSPH1	HSPH1	HSPH1,DNAJC7,DNAJB4,HSPA4,TOR1B,DNAJB2,HSPA4L,ST13,HSPB8,DNAJB5,DNAJA2
HTATIP2	HTATIP2	HTATIP2,TSC22D1,CSRNP3,TOX3,CSRNP2,CCAR1,KLF11,MEIS3,ZNF268,PEG3,ZNF16
HTD2	HTD2	HTD2,MECR,ACSM4,OXSM,PECR,ACOT6,ACOT12,ACSF3,ACSM6,ACAD11,ACSM5
HTN1	HTN1	HTN1,HTN3,CD151,LRG1,TMEFF2,SMOC2,ODAM,PLET1,TNFRSF12A,REG3A,JUP
HTN3	HTN3	HTN3,HTN1,STATH,DMP1,GNLY,AMTN,ADAMDEC1,KRT6A,LTF,DSPP,IBSP
HTR1A	HTR1A	HTR1A,HTR1B,HTR1E,GRM7,HTR1F,HRH3,HTR5A,CHRM4,GNAZ,GNG7,GABBR2
HTR1B	HTR1B	HTR1B,HTR1E,GNAZ,OPRM1,HTR1F,GABBR2,HTR1A,GRM1,HTR5A,GRM5,GABBR1
HTR1D	HTR1D	HTR1D,HTR1F,HTR1E,CORT,GPR176,GNAZ,HTR4,GRM6,GRM8,CHRM4,VIPR2
HTR1E	HTR1E	HTR1E,HTR1F,HTR5A,GNAZ,HRH3,GPR176,GABBR2,CHRM2,CHRM4,HTR1B,GRM8
HTR1F	HTR1F	HTR1F,HTR1E,HTR5A,HRH3,HTR1D,GNAZ,GPR176,GRM8,GABBR2,HTR1B,CHRM4
HTR2A	HTR2A	HTR2A,NTSR1,TRPM4,TRPV1,NPTN,SNCA,ATP2B1,CCL1,CD40,SCAMP5,GPER1
HTR2B	HTR2B	HTR2B,ERBB4,PDGFRB,CALCA,PROK2,CXCL12,EDNRB,CXCR4,VEGFC,ADM,PDCD6
HTR3A	HTR3A	HTR3A,HTR3E,HTR3D,HTR3C,HTR3B,CHRFAM7A,P2RX1,GRIK4,GRID1,GABRB1,GRIA2
HTR3B	HTR3B	HTR3B,HTR3D,HTR3E,HTR3C,HTR3A,CHRFAM7A,GRIK4,P2RX1,GRID1,CHRNB3,GRIA2
HTR3C	HTR3C	HTR3C,HTR3D,HTR3E,HTR3B,HTR3A,CHRFAM7A,P2RX1,GRID1,GRIK4,GRIA2,CHRNB3
HTR3D	HTR3D	HTR3D,HTR3C,HTR3B,HTR3E,HTR3A,CHRFAM7A,GRIK4,P2RX1,GRID1,CHRNB3,GRIA2
HTR3E	HTR3E	HTR3E,HTR3C,HTR3D,HTR3B,HTR3A,CHRFAM7A,P2RX1,GRIK4,GRID1,CHRNB3,GRIA2
HTR4	HTR4	HTR4,HTR1D,HTR1E,GNAZ,NPY,CHRM4,HTR1F,HRH3,CHRM5,HTR5A,VIPR1
HTR5A	HTR5A	HTR5A,HTR1E,HTR1F,CHRM2,HRH3,CHRM4,HTR1B,GPR176,GNAZ,GABBR2,OPRM1
HTR6	HTR6	HTR6,HRH3,HTR5A,HTR1F,HTR1E,CHRM4,HRH4,HTR1A,CHRM1,HTR1B,ADGRB3
HTR7	HTR7	HTR7,HTR1D,HRH3,GPR176,MTNR1A,HTR1F,HRH2,MTNR1B,HTR1A,HTR1E,CHRM4
HTRA1	HTRA1	HTRA1,ADAM19,ADAMTS1,SPINT1,HTRA4,HTRA3,INSL4,SPINT2,GLG1,ST14,CCDC134
HTRA2	HTRA2	HTRA2,CASP7,PMAIP1,CASP6,BBC3,IFI6,BCL2L10,BAD,BOK,CASP9,CTSC
HTRA3	HTRA3	HTRA3,HTRA4,RHBDL1,CRIM1,PRSS53,PBLD,CELA2B,PRSS36,SERPINB7,PRSS38,GZMK
HTRA4	HTRA4	HTRA4,HTRA3,PRSS53,DPP8,RHBDL1,CELA2B,PRSS36,PRSS33,PRSS27,TMPRSS11A,SERPINB4
HTT	HTT	HTT,PRKCI,ASAP1,PTPA,PRKG1,CLIP3,MTMR9,CHP1,PIN1,SSH1,ANKLE2
HUNK	HUNK	HUNK,CAMKK1,CAB39L,TCL1A,STK32A,TCL1B,STK32C,STK32B,RPS6KC1,AKAP10,EDARADD
HUS1	HUS1	HUS1,RAD1,RHNO1,RAD9A,RAD9B,CLSPN,NBN,RAD17,MDC1,TOPBP1,MRNIP
HUS1B	HUS1B	HUS1B,RPA2,RPA3,NBN,SLX4,NABP1,DNA2,RAD9B,EME1,MDC1,HUS1
HVCN1	HVCN1	HVCN1,SLC9B1,MT3,SLC39A4,SLC39A5,ZACN,SLC39A12,NOX5,SLC30A2,SLC39A9,SLC30A1
HYAL1	HYAL1	HYAL1,HYAL2,HAS1,HYAL4,GUSB,HAS3,CHI3L1,CHSY1,COL6A1,MMP3,EXTL3
HYAL2	HYAL2	HYAL2,HYAL1,PDGFRA,HAS2,CAT,GSTP1,NOX4,CTSH,MMP9,COL6A1,PPARA
HYAL3	HYAL3	HYAL3,INHBB,MMP2,HYAL2,EIF2B5,VGF,HYAL1,PTX3,INHBA,MMP14,TNFAIP6
HYAL4	HYAL4	HYAL4,GUSB,CHST13,CHST12,CHST3,CHST9,B4GALT7,B3GAT2,CHPF2,B3GAT1,CHST6
HYDIN	HYDIN	HYDIN,SPEF2,RILPL2,DPCD,KIF27,SPAG17,TCTN1,SIPA1L3,CC2D2A,PALLD,RILPL1
HYI	HYI	HYI,GRHPR,ENO4,HOGA1,KIAA1191,ABHD11,OGDHL,OXNAD1,SERHL2,ISOC1,PXMP2
HYKK	HYKK	HYKK,SLC25A21,PIPOX,DBT,ACY1,HIBCH,ENOSF1,HIBADH,PRSS16,AMT,GGACT
HYLS1	HYLS1	HYLS1,WDR90,CEP162,CCDC28B,B9D2,TBC1D31,POC1A,CEP83,ERICH3,TMEM216,PTPDC1
HYOU1	HYOU1	HYOU1,ERO1A,DNAJC3,DNAJC10,SCFD1,HERPUD1,PDIA6,ERP44,TBL2,ALB,TOR1B
HYPK	HYPK	HYPK,PFDN4,TBCA,BAG5,NAA38,PFDN2,TBRG1,PNMA2,BNIPL,BCL2L15,DNAJB6
IAH1	IAH1	IAH1,LIPJ,LACTB,AIG1,TMEM86A,PNLIPRP3,GDPD4,PLCXD3,PLBD2,ABHD15,PLCXD2
IAPP	IAPP	IAPP,TNFSF10,SHC4,TNFRSF6B,FAS,NTF3,RASSF6,NAIP,RAF1,IL19,TNFSF14
IARS2	IARS2	IARS2,LARS2,AARS2,FARS2,MARS2,VARS2,TARS2,YARS2,AARSD1,RARS2,DTD2
IBA57	IBA57	IBA57,HSCB,ISCA2,ISCU,ISCA1,NFU1,LYRM4,BOLA1,TMEM14C,NUBPL,NDOR1
IBSP	IBSP	IBSP,VCAN,DMP1,ECM2,FBLN2,TNC,EDIL3,ST7,TGFBI,ITGA11,MRC2
IBTK	IBTK	IBTK,CAMK2N2,DBNDD2,YWHAB,PPP1R14D,MOB3A,PTPN13,TRIB2,DUSP16,PPP1R14C,CDK17
ICA1	ICA1	ICA1,SV2B,SV2C,VPS45,SLC35F1,SORCS1,SLC6A16,YIPF1,RPH3A,SNPH,SYNDIG1
ICA1L	ICA1L	ICA1L,RAB36,SLC35E1,SCAMP4,SLC35E4,TVP23B,TVP23A,YIPF3,FAM91A1,CNST,ARRDC2
ICAM1	ICAM1	ICAM1,ITGAL,CD209,SELE,APBB1IP,CRTAM,SELP,CADM1,MADCAM1,FGL2,CD1D
ICAM2	ICAM2	ICAM2,ICAM4,VSIG10,IGDCC4,TROAP,VEZT,CNTNAP3B,CNTNAP5,LPP,PODXL,IGSF5
ICAM3	ICAM3	ICAM3,ICAM5,CD302,CD72,CD93,LY75,MUC16,CD82,LGALS7,ICAM4,SIGLEC12
ICAM4	ICAM4	ICAM4,CNTNAP3,ITGBL1,CNTN3,VSIG10,NTM,OPCML,MSLN,ITGAE,SIGLEC6,LAMB4
ICAM5	ICAM5	ICAM5,ICAM3,CLSTN3,CLSTN1,LRFN4,LRFN3,ADAM22,CLSTN2,LRRC4B,SIRPG,LRFN5
ICE1	ICE1	ICE1,ICE2,MLLT10,TCF20,FUBP3,SHQ1,MED6,ELL,NELFA,ARID3C,MED29
ICE2	ICE2	ICE2,ICE1,SNAPC1,SNAPC4,SNAPC3,SNAPC2,ELL,INTS5,INTS2,INTS4,INTS8
ICMT	ICMT	ICMT,LCMT1,MAT1A,AHCYL2,PRMT8,COMTD1,GNMT,BHMT,METTL9,MAT2B,SEPHS1
ICOS	ICOS	ICOS,LAIR2,BTNL8,IL32,SLAMF7,THEMIS2,SIGLEC10,BPIFB3,KIR2DL3,SIT1,IL31
ICOSLG	ICOSLG	ICOSLG,BTNL8,TNFRSF13C,CD79B,LILRB5,TNFSF9,SIT1,PAG1,CD7,LILRA1,LILRA6
ID1	ID1	ID1,GTF2I,ZNF304,ZNF354C,ELK3,FOXS1,OVOL2,UBP1,SAP30L,HOXA7,SOX18
ID2	ID2	ID2,ID4,SOX8,YAP1,SOX2,SMARCD3,WNT10B,GATA6,DLL1,ASCL1,CDK6
ID3	ID3	ID3,OSR1,OSR2,PRDM1,WT1,NKX2-1,NKX3-1,NOTCH2,MSX1,SALL1,GLI3
ID4	ID4	ID4,WNT10B,EZH2,RB1,CDK6,ID2,CCND1,E2F3,SOX8,PIAS1,E2F1
IDE	IDE	IDE,CTSD,MME,CTSV,LGMN,FBXO2,MIDN,LNPEP,RFFL,USP20,TPP1
IDH1	IDH1	IDH1,IDH2,OGDHL,ADHFE1,GRHPR,MDH2,TAT,HOGA1,ACO2,DLST,GLYAT
IDH2	IDH2	IDH2,IDH3A,OGDHL,IDH3B,IDH1,CS,MDH2,GRHPR,ME1,DLAT,SUCLG2
IDH3A	IDH3A	IDH3A,IDH3B,IDH2,CS,ACO2,OGDHL,YDJC,MDH2,ME1,PDHA2,SUCLG2
IDH3B	IDH3B	IDH3B,IDH3A,IDH2,ACO2,CS,SUCLG2,SUCLA2,OGDHL,SUCLG1,SDHC,SDHB
IDI1	IDI1	IDI1,IDI2,PMVK,MVD,MVK,FDPS,PLPP6,SC5D,DHCR7,HMGCS1,TM7SF2
IDI2	IDI2	IDI2,IDI1,MVD,PMVK,PLPP6,GGPS1,MVK,FDPS,PPIP5K1,DHDDS,FDFT1
IDNK	IDNK	IDNK,GDPGP1,GANC,HYI,PGGHG,TGDS,TPI1,UAP1L1,PGM2L1,FBP2,GALK2
IDO1	IDO1	IDO1,IL4I1,IL23A,IL23R,CD274,KMO,IL1A,SLC7A5,KYNU,PPARA,IDO2
IDO2	IDO2	IDO2,AFMID,KYNU,TDO2,KMO,HAAO,ACMSD,KYAT1,TPH2,KYAT3,IDO1
IDUA	IDUA	IDUA,GUSB,SGSH,NDST4,HYAL4,HS3ST1,XYLT2,GLB1,NDST3,B3GAT3,HS3ST2
IER2	IER2	IER2,NIF3L1,IRX6,BARHL2,CASZ1,PCP4,ETV3L,ZNF521,OTP,DMRTA2,ZNF609
IER3	IER3	IER3,MCL1,CRADD,PARP1,DDIAS,BRCA1,RAD9A,PMAIP1,CHEK2,PRAP1,BABAM2
IER3IP1	IER3IP1	IER3IP1,RIC1,RHBDF1,GOLPH3L,RETREG3,SEC24A,SCAMP5,RAB33B,ARFIP1,RCN3,TEX261
IER5	IER5	IER5,TFEC,CRNN,EAPP,CHP2,URI1,PLAC8,DNAJA2,FIZ1,DNAJB1,ZNF16
IFFO1	IFFO1	IFFO1,POLM,ATP23,TDP1,SMARCAL1,HELQ,RNF169,AP5Z1,AUNIP,EXD2,AP5S1
IFFO2	IFFO2	IFFO2,KRTAP20-3,KRTAP22-2,KRTAP19-8,KRTAP20-2,KRTAP22-1,KRTAP20-1,KRTAP25-1,KRTAP5-10,KRTAP21-1,KRTAP21-3
IFI16	IFI16	IFI16,BCL3,MCL1,IKBKE,SHISA5,NUPR1,CASP6,IRF3,TFAP4,DAPK1,TP53
IFI27	IFI27	IFI27,C1QBP,IVNS1ABP,IRF3,NFX1,RNF216,HSPA1A,NOC2L,PPID,UBE2D3,TRIM27
IFI27L1	IFI27L1	IFI27L1,PDCD2L,TMEM219,IFI27L2,BCL2L14,BCL2L15,BLCAP,RASSF7,LGALS14,HS1BP3,PPP2R2B
IFI27L2	IFI27L2	IFI27L2,IFI27L1,TP53AIP1,PDCD2L,TMEM214,PPP2R2B,MTFP1,TMEM219,BCL2L14,MRPS30,LGALS12
IFI30	IFI30	IFI30,HLA-DOB,MFSD6,HLA-DOA,CTSF,CTSE,MR1,RAET1L,HLA-DMA,HLA-DRB5,HLA-DMB
IFI35	IFI35	IFI35,NMI,HAVCR2,IL34,MFHAS1,PYDC2,SBNO2,LITAF,TNIP2,NLRX1,TICAM2
IFI44	IFI44	IFI44,IFIT1B,NAALADL2,IFI44L,VWCE,TTC4,ABCF3,ANKHD1,TMEM229B,NUDCD1,CCDC92
IFI44L	IFI44L	IFI44L,IFIT1B,IFI44,ABCF3,KAAG1,TTC4,CCDC92,CD207,PTPRCAP,VWCE,DDX60L
IFI6	IFI6	IFI6,PMAIP1,BOK,BBC3,BID,BCL2A1,DIABLO,BCL2L1,CYCS,BCL2L10,PDCD5
IFIH1	IFIH1	IFIH1,DHX58,MAVS,TRAF3IP3,IRF7,TBK1,RSAD2,OAS3,OAS1,IFNA6,DDX60
IFIT1	IFIT1	IFIT1,IFITM3,IFIT3,DDX56,OASL,IFIT2,MX1,BTBD17,ILF3,ZCCHC3,DHX58
IFIT1B	IFIT1B	IFIT1B,IFI44,ABCF3,IFI44L,ANKHD1,DDX60L,VWCE,TTC4,PTPRCAP,NUDCD1,IFIT1
IFIT2	IFIT2	IFIT2,AKAP1,IFIT3,MX1,NDUFAF4,XAF1,IFIT1,TOMM70,ZBP1,IFI27,ZNFX1
IFIT3	IFIT3	IFIT3,IFIT2,MX1,IFIT1,XAF1,IFITM3,BTBD17,AKAP1,CCDC92,NDUFAF4,IFNLR1
IFIT5	IFIT5	IFIT5,TRIM6,NLRC5,IRAK1BP1,TRIM59,RFPL2,RFPL4A,TRIM34,REL,PYDC1,LURAP1
IFITM1	IFITM1	IFITM1,IFITM3,IFITM2,IFNLR1,CLEC5A,ISG15,PDCD1LG2,IFNL3,IFNA2,IFNAR1,BST2
IFITM10	IFITM10	IFITM10,UNC79,TMEM202,SMIM23,SIRPB2,POTED,ANKRD20A1,TMEFF1,GYPE,TSPAN19,CSMD2
IFITM2	IFITM2	IFITM2,IFITM3,IFNLR1,MX1,IFNA17,PDCD1LG2,IFITM1,IFNA4,IFNA8,IFNW1,IFNA6
IFITM3	IFITM3	IFITM3,IFITM2,IFNLR1,MX1,PDCD1LG2,IFITM1,IFIT1,IFNA4,IRF1,IFNW1,RSAD2
IFITM5	IFITM5	IFITM5,EGFL8,PHOSPHO1,C1orf43,CMIP,SLC39A1,ZFAND5,GJB3,SLC39A3,SIGLEC15,KIAA1217
IFNA1	IFNA1	IFNA1,IFNA5,IFNA4,IFNA8,IFNA14,IFNA10,IFNA6,IFNA16,IFNA21,IFNA17,IFNA7
IFNA10	IFNA10	IFNA10,IFNA14,IFNA6,IFNA21,IFNA1,IFNA16,IFNA5,IFNA8,IFNA17,IFNA4,IFNE
IFNA14	IFNA14	IFNA14,IFNA10,IFNA6,IFNA16,IFNA21,IFNA1,IFNA5,IFNA8,IFNA17,IFNA4,IFNE
IFNA16	IFNA16	IFNA16,IFNA21,IFNA14,IFNA6,IFNA10,IFNA8,IFNA1,IFNA17,IFNA5,IFNA4,IFNE
IFNA17	IFNA17	IFNA17,IFNA4,IFNA8,IFNA21,IFNA1,IFNA16,IFNA5,IFNA6,IFNA10,IFNA14,IFNE
IFNA2	IFNA2	IFNA2,IL17RA,JAK3,IFNL1,IL1R1,TNIP2,IL27RA,IL2RA,IFNG,LILRA5,BCL10
IFNA21	IFNA21	IFNA21,IFNA16,IFNA14,IFNA10,IFNA6,IFNA8,IFNA17,IFNA5,IFNA1,IFNA4,IFNE
IFNA4	IFNA4	IFNA4,IFNA1,IFNA5,IFNA17,IFNA8,IFNA6,IFNA10,IFNA14,IFNA7,IFNA21,IFNA16
IFNA5	IFNA5	IFNA5,IFNA8,IFNA1,IFNA4,IFNA14,IFNA10,IFNA21,IFNA6,IFNA17,IFNA16,IFNA7
IFNA6	IFNA6	IFNA6,IFNA10,IFNA14,IFNA21,IFNA16,IFNA1,IFNA5,IFNA8,IFNA17,IFNA4,IFNE
IFNA7	IFNA7	IFNA7,IFNA5,IFNA4,IFNA8,IFNA17,IFNA1,IFNA21,IFNA14,IFNA16,IFNA6,IFNA10
IFNA8	IFNA8	IFNA8,IFNA5,IFNA1,IFNA17,IFNA21,IFNA4,IFNA16,IFNA14,IFNA6,IFNA10,IFNE
IFNAR1	IFNAR1	IFNAR1,IFNAR2,IFNL3,IFNB1,IL10RB,STAT4,TYK2,IFNL2,IL12RB2,IFNA10,IFNA6
